,NDB_No,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),FoodGroup
7598,23552,1.985304184,1.218524832,2.440535989,0.685432088,0.3900244,0,0,0,0.035095208,0.540705823,0.382166151,1.071537147,1.001990551,0.075615086,1.832375126,0.177999376,0,1.063364404,0,0.170463205,0.553730266,0.730349109,0.550092423,0.583362819,0.071189521,0,0.16140803,2.105034338,0.699606891,0,0,0,0,0,0,0,0.042080382,0.188135755,0.253556273,0.611136213,0.768408788,0.090737625,0.589541661,"Meals, Entrees, and Side Dishes"
7599,23554,2.080523389,1.071359998,2.686488837,0.429975849,0.413765015,0,0,0,0.060163214,0.514113733,0.454959704,1.238333024,0.999260331,0.071355081,2.439121857,0.192832657,0.002065068,1.158372907,0,0.176409596,0.512200496,1.179794715,0.641091319,1.456230321,0.055369628,0,0.125539579,1.881414756,0.798541199,0.005421403,0.007889019,0,0,0,0,0,0.026300239,0.032478123,0.025953223,0.455690962,0.519740488,0.081564151,0.692070646,"Meals, Entrees, and Side Dishes"
7600,23557,2.380155155,0.806463295,2.033146907,0.316158712,0.356109235,0,0,0,0.045122411,0.421927822,0.400364539,1.00077526,0.944655941,0.07029008,1.544170429,0.144624493,0.001588514,0.635826138,0,0.081267342,0.348388625,1.182592988,0.534516035,0.853276959,0.039549734,0,0.089671128,1.524483499,0.527649642,0.003794982,0.005259346,0,0,0,0,0,0.044710406,0.032478123,0.004866229,0.341572545,0.295849995,0.051251801,0.529733087,"Meals, Entrees, and Side Dishes"
7601,23558,2.137719909,1.02426725,2.496563858,0.429975849,0.359500751,0,0,0,0.035095208,0.501704091,0.400364539,1.041210624,0.947386161,0.069225079,1.950690739,0.177999376,0.00222392,0.78564724,0,0.083249472,0.406068861,1.278380006,0.539434895,0.896811498,0.055369628,0,0.125539579,1.836260802,0.581827953,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.021086994,0.46586613,0.403566693,0.065211436,0.75187922,"Meals, Entrees, and Side Dishes"
7602,23559,2.174117694,0.965401316,2.450032238,0.37559655,0.369675301,0,0,0,0.045122411,0.505249703,0.436761315,1.122081352,1.026562526,0.075615086,1.956758206,0.168728575,0.001906217,0.771030547,0,0.085231603,0.408376071,1.350704587,0.529597176,0.851100232,0.055369628,0,0.125539579,1.801857789,0.657206473,0.002710702,0.00394451,0,0,0,0,0,0.034190311,0,0.019464917,0.405284748,0.350895305,0.056636232,0.717702892,"Meals, Entrees, and Side Dishes"
7603,23560,2.033726237,1.136112525,2.770055829,0.479296608,0.454463214,0,0,0,0.045122411,0.57261633,0.509554868,1.329312593,1.253170743,0.090525103,2.141815959,0.196540977,0.002065068,0.789301413,0,0.083249472,0.440677003,1.569185089,0.661586565,0.931639129,0.055369628,0,0.125539579,2.038378501,0.659562052,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.02270907,0.516272344,0.447187505,0.072191253,0.760423302,"Meals, Entrees, and Side Dishes"
7604,23561,2.104571926,1.02426725,2.593425597,0.402786199,0.318802553,0,0,0,0.040108809,0.540705823,0.400364539,1.005829681,0.860019137,0.06177007,2.081141286,0.146478653,0.001588514,0.814880626,0,0.06739243,0.394532814,1.189911546,0.536155655,0.777091517,0.047459681,0,0.107605353,1.907217015,0.586539111,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.021086994,0.436436415,0.377898665,0.061023545,0.75187922,"Meals, Entrees, and Side Dishes"
7605,23562,2.25698765,1.036040437,1.899249797,0.632317425,0.332368619,0,0,0,0.060163214,0.397108539,0.363967763,0.930013373,0.876400454,0.07029008,1.45315842,0.133499532,0.001588514,0.606592753,0,0.083249472,0.348388625,1.091756759,0.492705732,0.80321224,0.047459681,0,0.107605353,1.421274461,0.520582905,0.003794982,0.005259346,0,0,0,0,0,0.044710406,0.032478123,0.012976612,0.614736657,0.622264232,0.068801056,0.555365333,"Meals, Entrees, and Side Dishes"
7606,23563,1.990178887,1.277390766,2.47947061,0.742972974,0.352717718,0,0,0,0.065176815,0.48043042,0.400364539,1.020992942,0.909163088,0.072420082,1.932488337,0.166874415,0.002065068,0.78564724,0,0.087213733,0.406068861,1.218109523,0.539434895,0.864160594,0.063279575,0,0.143473804,1.804007977,0.603028162,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.017842841,0.724471925,0.733393443,0.083957231,0.75187922,"Meals, Entrees, and Side Dishes"
7607,23564,2.054199991,1.200865052,2.394004369,0.675315009,0.366283784,0,0,0,0.075204018,0.491067256,0.418562927,1.091754829,0.991069673,0.079875091,1.920353402,0.159457774,0.001906217,0.756413854,0,0.085231603,0.408376071,1.297322158,0.521399077,0.824979509,0.063279575,0,0.143473804,1.741652517,0.657206473,0.002710702,0.00394451,0,0,0,0,0,0.034190311,0,0.017842841,0.655750409,0.663659492,0.075980297,0.717702892,"Meals, Entrees, and Side Dishes"
